PREDICTED		ACTUAL
[0.8626904 0.1373096]		[1 0]
[0.40248063 0.5975194 ]		[1 0]
[0.4954073 0.5045927]		[0 1]
[0.78093547 0.21906455]		[1 0]
[0.07306815 0.92693186]		[0 1]
[0.97584075 0.02415931]		[1 0]
[0.41632786 0.58367217]		[0 1]
[0.5766913  0.42330867]		[1 0]
[0.5186639  0.48133612]		[1 0]
[0.9514705  0.04852958]		[1 0]
[0.03582133 0.9641787 ]		[0 1]
[0.6472477  0.35275236]		[0 1]
[0.99467707 0.00532292]		[1 0]
[0.34842432 0.6515757 ]		[0 1]
[0.24826369 0.7517363 ]		[0 1]
[0.38213548 0.6178645 ]		[0 1]
[0.51058704 0.48941296]		[1 0]
[0.07227781 0.9277222 ]		[0 1]
[0.83636457 0.16363546]		[1 0]
[0.74505204 0.25494793]		[1 0]
[0.4464058 0.5535942]		[0 1]
[0.69230247 0.3076976 ]		[0 1]
[0.7060358  0.29396424]		[1 0]
[0.62059474 0.37940523]		[1 0]
[0.09447305 0.90552694]		[0 1]
[0.91605693 0.08394313]		[1 0]
[0.5570635  0.44293642]		[1 0]
[0.16608371 0.83391625]		[0 1]
[0.6472344  0.35276562]		[1 0]
[0.15429264 0.8457073 ]		[1 0]
[0.9868766  0.01312338]		[1 0]
[0.9681193  0.03188059]		[1 0]
[0.27413803 0.72586197]		[0 1]
[0.7009923 0.2990077]		[1 0]
[0.18444547 0.81555456]		[0 1]
[0.8625647  0.13743529]		[1 0]
[0.8496887 0.1503113]		[1 0]
[0.9142869  0.08571307]		[1 0]
[0.29161918 0.7083808 ]		[0 1]
[0.82778007 0.17221996]		[1 0]
[0.23907973 0.7609203 ]		[0 1]
[0.7861271  0.21387292]		[0 1]
[0.63534456 0.36465544]		[1 0]
[0.62567383 0.37432614]		[1 0]
[0.6951354 0.3048646]		[0 1]
[0.01327233 0.98672765]		[0 1]
[0.7364359  0.26356408]		[1 0]
[0.30510798 0.69489205]		[0 1]
[0.42608047 0.57391953]		[0 1]
[0.6731599  0.32684013]		[1 0]
[0.83508223 0.16491774]		[1 0]
[0.12294785 0.8770521 ]		[1 0]
[0.37744308 0.62255687]		[0 1]
[0.53345525 0.46654472]		[0 1]
[0.59922224 0.4007778 ]		[0 1]
[0.06288804 0.9371119 ]		[0 1]
[0.45416915 0.54583085]		[0 1]
[0.42410168 0.5758983 ]		[0 1]
[0.67749774 0.32250223]		[0 1]
[0.42797068 0.5720293 ]		[0 1]
[0.07613398 0.923866  ]		[0 1]
[0.93799245 0.06200757]		[1 0]
[0.5472422  0.45275775]		[1 0]
[0.5484973  0.45150274]		[1 0]
[0.0355652  0.96443486]		[0 1]
[0.0208689 0.9791311]		[0 1]
[0.2775989 0.7224011]		[0 1]
[0.35976186 0.6402381 ]		[0 1]
[0.22459073 0.7754092 ]		[0 1]
[0.52800095 0.47199902]		[0 1]
[0.86289823 0.13710184]		[1 0]
[0.8351776  0.16482244]		[1 0]
[0.4695587  0.53044134]		[0 1]
[0.8223994  0.17760058]		[0 1]
[0.32576475 0.6742353 ]		[0 1]
[0.234775   0.76522493]		[0 1]
[0.8102868 0.1897131]		[1 0]
[0.8924752  0.10752477]		[1 0]
[0.2550292 0.7449708]		[0 1]
[0.8847462  0.11525384]		[1 0]
[0.989305   0.01069504]		[1 0]
[0.32120323 0.6787967 ]		[0 1]
[0.28041476 0.71958524]		[1 0]
[0.78778344 0.21221654]		[1 0]
[0.21929598 0.78070396]		[1 0]
[0.0366773  0.96332264]		[0 1]
[0.03916153 0.9608385 ]		[0 1]
[0.8474924  0.15250757]		[1 0]
[0.10102165 0.89897835]		[0 1]
[0.46528226 0.5347178 ]		[0 1]
[0.21932285 0.78067714]		[0 1]
[0.78847444 0.21152557]		[1 0]
[0.93737644 0.06262359]		[1 0]
[0.8700205  0.12997948]		[1 0]
[0.14257772 0.8574223 ]		[0 1]
[0.5685847 0.4314153]		[1 0]
[0.23950352 0.7604965 ]		[0 1]
[0.56065    0.43934998]		[1 0]
[0.99010277 0.00989725]		[1 0]
[0.52252555 0.4774745 ]		[1 0]
[0.52750826 0.4724918 ]		[1 0]
[0.4973217 0.5026783]		[1 0]
[0.5271502  0.47284973]		[0 1]
[0.7124943 0.2875057]		[1 0]
[0.66355956 0.3364404 ]		[1 0]
[0.6827073 0.3172926]		[1 0]
[0.14616926 0.85383075]		[0 1]
[0.8367896  0.16321047]		[1 0]
[0.63921595 0.36078405]		[0 1]
[0.9690007  0.03099926]		[1 0]
[0.12656811 0.8734319 ]		[0 1]
[0.2756131  0.72438693]		[1 0]
[0.5320271  0.46797293]		[0 1]
[0.9235741  0.07642596]		[1 0]
[0.19656108 0.80343896]		[1 0]
[0.9071416  0.09285839]		[1 0]
[0.7283805  0.27161947]		[1 0]
[0.09145597 0.90854406]		[0 1]
[0.02312898 0.97687095]		[0 1]
[0.593718   0.40628204]		[0 1]
[0.8835814  0.11641854]		[1 0]
[0.17781754 0.8221825 ]		[1 0]
[0.39941174 0.6005882 ]		[1 0]
[0.58996856 0.4100315 ]		[0 1]
[0.7842487 0.2157513]		[1 0]
[0.32289037 0.67710966]		[1 0]
[0.24242999 0.75757   ]		[0 1]
[0.00962041 0.9903796 ]		[0 1]
[0.21894212 0.78105783]		[0 1]
[0.01441235 0.9855877 ]		[0 1]
[0.32997787 0.67002213]		[0 1]
[0.16201527 0.8379848 ]		[0 1]
[0.19302617 0.8069739 ]		[0 1]
[0.14471209 0.8552879 ]		[0 1]
[0.979996   0.02000401]		[1 0]
[0.52371734 0.47628266]		[1 0]
[0.2600523 0.7399477]		[0 1]
[0.02716652 0.9728335 ]		[0 1]
[0.6105528 0.3894472]		[1 0]
[0.899041   0.10095899]		[1 0]
[0.30572712 0.69427294]		[0 1]
[0.17060381 0.8293961 ]		[0 1]
[0.4625296  0.53747034]		[1 0]
[0.14452004 0.85547996]		[0 1]
[0.58052725 0.41947278]		[1 0]
[0.17289577 0.8271043 ]		[0 1]
[0.32927498 0.67072505]		[0 1]
[0.19940375 0.80059624]		[0 1]
[0.48133633 0.5186637 ]		[1 0]
[0.35315076 0.6468492 ]		[1 0]
[0.33752424 0.66247576]		[0 1]
[0.17378938 0.8262106 ]		[1 0]
[0.48931313 0.51068693]		[0 1]
[0.6860987  0.31390134]		[1 0]
[0.8774988  0.12250122]		[1 0]
[0.0646513  0.93534863]		[0 1]
[0.33852792 0.6614721 ]		[0 1]
[0.7554719  0.24452813]		[0 1]
[0.44819987 0.5518001 ]		[1 0]
[0.8882892  0.11171076]		[1 0]
[0.01603271 0.98396724]		[0 1]
[0.54724866 0.4527513 ]		[1 0]
[0.16893573 0.8310642 ]		[0 1]
[0.4447187 0.5552814]		[0 1]
[0.98440105 0.01559896]		[0 1]
[0.8851445  0.11485553]		[1 0]
[0.11145753 0.8885425 ]		[0 1]
[0.8356842 0.1643158]		[1 0]
[0.40811425 0.5918857 ]		[0 1]
[0.05637915 0.9436208 ]		[0 1]
[0.7074278  0.29257223]		[0 1]
[0.5161303  0.48386976]		[1 0]
[0.51476204 0.48523796]		[0 1]
[0.0954962 0.9045038]		[0 1]
[0.30881143 0.6911886 ]		[1 0]
[0.7257036  0.27429646]		[1 0]
[0.39582166 0.60417837]		[1 0]
[0.79865885 0.20134108]		[1 0]
[0.20865102 0.791349  ]		[1 0]
[0.50707775 0.49292222]		[1 0]
[0.9260499  0.07395015]		[1 0]
[0.81658405 0.18341592]		[1 0]
[0.73433053 0.2656695 ]		[1 0]
[0.4774785 0.5225215]		[0 1]
[0.8683562  0.13164374]		[1 0]
[0.8048139 0.1951861]		[1 0]
[0.60677594 0.3932241 ]		[1 0]
[0.7709447  0.22905532]		[1 0]
[0.02477147 0.97522855]		[0 1]
[0.42226505 0.57773495]		[0 1]
[0.24399512 0.7560049 ]		[0 1]
[0.5870069  0.41299307]		[0 1]
[0.19939126 0.80060875]		[0 1]
[0.96010256 0.03989748]		[1 0]
[0.9445955  0.05540448]		[1 0]
[0.29997492 0.7000251 ]		[0 1]
[0.6260416 0.3739584]		[0 1]
[0.6341576  0.36584243]		[1 0]
[0.3528051  0.64719486]		[1 0]
[0.6140396 0.3859604]		[1 0]
[0.9674718  0.03252821]		[1 0]
[0.8123694  0.18763055]		[1 0]
