PREDICTED		ACTUAL
[0.63864315 0.36135682]		[1 0]
[0.42560595 0.57439405]		[1 0]
[0.6274289  0.37257114]		[0 1]
[0.6267836 0.3732164]		[1 0]
[0.11989795 0.88010204]		[0 1]
[0.9265443  0.07345572]		[1 0]
[0.51801896 0.48198104]		[0 1]
[0.34792495 0.65207505]		[1 0]
[0.78551567 0.21448436]		[1 0]
[0.81171477 0.18828517]		[1 0]
[0.12889479 0.8711052 ]		[0 1]
[0.357296 0.642704]		[0 1]
[0.8761358  0.12386415]		[1 0]
[0.36458793 0.63541204]		[0 1]
[0.31212518 0.6878748 ]		[0 1]
[0.52143836 0.4785616 ]		[0 1]
[0.6996763  0.30032375]		[1 0]
[0.05708148 0.94291854]		[0 1]
[0.52696913 0.4730309 ]		[1 0]
[0.70427865 0.29572132]		[1 0]
[0.39268273 0.6073172 ]		[0 1]
[0.35750964 0.6424904 ]		[0 1]
[0.67285013 0.3271499 ]		[1 0]
[0.53929085 0.46070918]		[1 0]
[0.09668908 0.90331095]		[0 1]
[0.8545752  0.14542471]		[1 0]
[0.7995588  0.20044123]		[1 0]
[0.2727673 0.7272327]		[0 1]
[0.4734404 0.5265596]		[1 0]
[0.29556668 0.7044334 ]		[1 0]
[0.9344462  0.06555379]		[1 0]
[0.79136735 0.20863263]		[1 0]
[0.20696454 0.7930354 ]		[0 1]
[0.8294908 0.1705092]		[1 0]
[0.3385593  0.66144073]		[0 1]
[0.83564925 0.16435082]		[1 0]
[0.3841581 0.6158419]		[1 0]
[0.91083944 0.0891606 ]		[1 0]
[0.2591424  0.74085754]		[0 1]
[0.67692345 0.32307658]		[1 0]
[0.3617278 0.6382722]		[0 1]
[0.8041684  0.19583157]		[0 1]
[0.569927   0.43007305]		[1 0]
[0.59524375 0.40475622]		[1 0]
[0.6771325 0.3228675]		[0 1]
[0.12911308 0.87088686]		[0 1]
[0.40172762 0.5982724 ]		[1 0]
[0.23773886 0.76226115]		[0 1]
[0.5395804  0.46041965]		[0 1]
[0.79531676 0.20468327]		[1 0]
[0.7938306  0.20616944]		[1 0]
[0.22654156 0.7734585 ]		[1 0]
[0.40804 0.59196]		[0 1]
[0.56285596 0.43714407]		[0 1]
[0.65126365 0.34873632]		[0 1]
[0.37754068 0.62245935]		[0 1]
[0.40986988 0.5901301 ]		[0 1]
[0.46997687 0.53002316]		[0 1]
[0.6874776  0.31252235]		[0 1]
[0.48925564 0.51074433]		[0 1]
[0.33783203 0.66216797]		[0 1]
[0.85560435 0.14439559]		[1 0]
[0.28068522 0.7193147 ]		[1 0]
[0.6225968  0.37740317]		[1 0]
[0.10397866 0.8960213 ]		[0 1]
[0.07261843 0.9273816 ]		[0 1]
[0.30574766 0.6942523 ]		[0 1]
[0.73326665 0.26673335]		[0 1]
[0.38890243 0.6110976 ]		[0 1]
[0.5703591 0.4296409]		[0 1]
[0.43909326 0.5609068 ]		[1 0]
[0.72317874 0.27682123]		[1 0]
[0.617287   0.38271305]		[0 1]
[0.769353   0.23064706]		[0 1]
[0.38014564 0.61985433]		[0 1]
[0.12996243 0.87003756]		[0 1]
[0.66211253 0.3378875 ]		[1 0]
[0.8266321  0.17336789]		[1 0]
[0.19794676 0.8020532 ]		[0 1]
[0.88343865 0.11656131]		[1 0]
[0.88859797 0.11140206]		[1 0]
[0.2524216 0.7475785]		[0 1]
[0.43291816 0.5670818 ]		[1 0]
[0.56055576 0.43944427]		[1 0]
[0.85402584 0.1459742 ]		[1 0]
[0.21203798 0.7879621 ]		[0 1]
[0.0694736 0.9305264]		[0 1]
[0.8481801  0.15181988]		[1 0]
[0.45494944 0.5450506 ]		[0 1]
[0.38298658 0.61701345]		[0 1]
[0.24880874 0.7511912 ]		[0 1]
[0.80263466 0.19736531]		[1 0]
[0.9079836  0.09201636]		[1 0]
[0.7884832  0.21151677]		[1 0]
[0.21638513 0.7836149 ]		[0 1]
[0.3983103  0.60168976]		[1 0]
[0.44746915 0.5525309 ]		[0 1]
[0.4264578 0.5735422]		[1 0]
[0.9180796  0.08192042]		[1 0]
[0.4083701 0.5916299]		[1 0]
[0.36596695 0.634033  ]		[1 0]
[0.40524533 0.5947547 ]		[1 0]
[0.4748796  0.52512044]		[0 1]
[0.58423364 0.4157664 ]		[1 0]
[0.63353246 0.3664675 ]		[1 0]
[0.7396594  0.26034057]		[1 0]
[0.2694322 0.7305679]		[0 1]
[0.8743454  0.12565456]		[1 0]
[0.71390575 0.28609425]		[0 1]
[0.9353834  0.06461667]		[1 0]
[0.30330193 0.69669807]		[0 1]
[0.29289418 0.7071058 ]		[1 0]
[0.6448044 0.3551956]		[0 1]
[0.930005   0.06999501]		[1 0]
[0.16643919 0.83356076]		[1 0]
[0.80449486 0.19550511]		[1 0]
[0.568053 0.431947]		[1 0]
[0.13615158 0.8638484 ]		[0 1]
[0.05952844 0.9404716 ]		[0 1]
[0.37887925 0.6211207 ]		[0 1]
[0.89185905 0.10814088]		[1 0]
[0.25469038 0.7453096 ]		[1 0]
[0.63947827 0.3605218 ]		[1 0]
[0.6656237 0.3343763]		[0 1]
[0.5507004  0.44929963]		[1 0]
[0.33948323 0.6605168 ]		[1 0]
[0.28512534 0.7148747 ]		[0 1]
[0.0565807 0.9434193]		[0 1]
[0.440295   0.55970496]		[0 1]
[0.06065604 0.9393439 ]		[0 1]
[0.25799182 0.74200827]		[0 1]
[0.3947172 0.6052828]		[0 1]
[0.08726328 0.9127367 ]		[0 1]
[0.29397017 0.70602983]		[0 1]
[0.76022863 0.2397714 ]		[1 0]
[0.668131   0.33186898]		[1 0]
[0.24410032 0.75589967]		[0 1]
[0.06296527 0.9370348 ]		[0 1]
[0.5466368  0.45336318]		[1 0]
[0.92182153 0.07817852]		[1 0]
[0.34197834 0.65802157]		[0 1]
[0.24791649 0.75208354]		[0 1]
[0.5980272  0.40197277]		[1 0]
[0.61320734 0.38679263]		[0 1]
[0.7271918  0.27280822]		[1 0]
