PREDICTED		ACTUAL
[0.60701954 0.39298052]		[1 0]
[0.40431935 0.59568065]		[1 0]
[0.592417   0.40758306]		[0 1]
[0.7320922  0.26790777]		[1 0]
[0.05145224 0.9485477 ]		[0 1]
[0.9044126  0.09558741]		[1 0]
[0.39239615 0.60760385]		[0 1]
[0.41553307 0.5844669 ]		[1 0]
[0.7812947  0.21870527]		[1 0]
[0.89630395 0.10369608]		[1 0]
[0.08924203 0.91075796]		[0 1]
[0.58408016 0.4159198 ]		[0 1]
[0.9661215  0.03387851]		[1 0]
[0.5790898  0.42091015]		[0 1]
[0.14363538 0.8563646 ]		[0 1]
[0.29808247 0.7019175 ]		[0 1]
[0.43530557 0.5646944 ]		[1 0]
[0.07794999 0.92205   ]		[0 1]
[0.6116795  0.38832048]		[1 0]
[0.76207733 0.23792268]		[1 0]
[0.1855115  0.81448853]		[0 1]
[0.60229874 0.39770126]		[0 1]
[0.7572217  0.24277826]		[1 0]
[0.57158893 0.42841104]		[1 0]
[0.10059385 0.89940614]		[0 1]
[0.77688473 0.22311528]		[1 0]
[0.6464651  0.35353485]		[1 0]
[0.11523275 0.88476723]		[0 1]
[0.6125275 0.3874725]		[1 0]
[0.07710648 0.92289346]		[1 0]
[0.9768808  0.02311929]		[1 0]
[0.95115155 0.04884842]		[1 0]
[0.19657445 0.80342555]		[0 1]
[0.7021932  0.29780683]		[1 0]
[0.14077099 0.85922897]		[0 1]
[0.7948703  0.20512968]		[1 0]
[0.6602057  0.33979428]		[1 0]
[0.91435647 0.08564348]		[1 0]
[0.23022328 0.7697767 ]		[0 1]
[0.3914801 0.6085199]		[1 0]
[0.323231   0.67676896]		[0 1]
[0.65244824 0.34755176]		[0 1]
[0.37112805 0.6288719 ]		[1 0]
[0.8097394  0.19026062]		[1 0]
[0.5582793 0.4417208]		[0 1]
[0.01767354 0.98232645]		[0 1]
[0.534883   0.46511698]		[1 0]
[0.24596062 0.75403935]		[0 1]
[0.22854437 0.77145565]		[0 1]
[0.6995011 0.3004989]		[1 0]
[0.6310975  0.36890247]		[1 0]
[0.14528115 0.8547188 ]		[1 0]
[0.553439   0.44656098]		[0 1]
[0.3696291  0.63037086]		[0 1]
[0.6364177  0.36358234]		[0 1]
[0.13798253 0.8620175 ]		[0 1]
[0.6351001  0.36489993]		[0 1]
[0.47791216 0.5220878 ]		[0 1]
[0.76489395 0.23510608]		[0 1]
[0.3945872 0.6054128]		[0 1]
[0.15496543 0.8450346 ]		[0 1]
[0.8303366  0.16966344]		[1 0]
[0.410337  0.5896631]		[1 0]
[0.6308484  0.36915156]		[1 0]
[0.03373505 0.96626496]		[0 1]
[0.03948639 0.9605136 ]		[0 1]
[0.20535554 0.7946445 ]		[0 1]
[0.5413077 0.4586923]		[0 1]
[0.2421257  0.75787425]		[0 1]
[0.6146589  0.38534108]		[0 1]
[0.7288036 0.2711964]		[1 0]
[0.7376062  0.26239377]		[1 0]
[0.51211715 0.48788285]		[0 1]
[0.8874003  0.11259961]		[0 1]
[0.22651383 0.7734862 ]		[0 1]
[0.20012482 0.7998752 ]		[0 1]
[0.81254894 0.18745105]		[1 0]
[0.73105145 0.26894855]		[1 0]
[0.26698053 0.7330195 ]		[0 1]
[0.8424808  0.15751918]		[1 0]
[0.97225475 0.02774531]		[1 0]
[0.22294515 0.7770548 ]		[0 1]
[0.20928077 0.7907192 ]		[1 0]
[0.69405663 0.30594334]		[1 0]
[0.12251975 0.87748027]		[1 0]
[0.01358573 0.98641425]		[0 1]
[0.12538086 0.8746192 ]		[0 1]
[0.8079521  0.19204786]		[1 0]
[0.27534616 0.72465384]		[0 1]
[0.5544265 0.4455735]		[0 1]
[0.16028857 0.8397114 ]		[0 1]
[0.6847403  0.31525978]		[1 0]
[0.9528255  0.04717451]		[1 0]
[0.8365067  0.16349328]		[1 0]
[0.17853515 0.8214649 ]		[0 1]
[0.38804057 0.61195946]		[1 0]
[0.22560328 0.7743968 ]		[0 1]
[0.3141424 0.6858576]		[1 0]
[0.9668696 0.0331304]		[1 0]
[0.40010652 0.59989345]		[1 0]
[0.49923548 0.50076455]		[1 0]
[0.32462236 0.6753776 ]		[1 0]
[0.34085003 0.65915   ]		[0 1]
[0.6991167 0.3008832]		[1 0]
[0.6237855 0.3762145]		[1 0]
[0.6352431 0.3647569]		[1 0]
[0.07644393 0.9235561 ]		[0 1]
[0.8006283  0.19937165]		[1 0]
[0.6699219 0.3300781]		[0 1]
[0.97415406 0.025846  ]		[1 0]
[0.11253949 0.88746053]		[0 1]
[0.31788805 0.682112  ]		[1 0]
[0.3633435 0.6366565]		[0 1]
[0.9737724  0.02622761]		[1 0]
[0.11516351 0.88483644]		[1 0]
[0.850046   0.14995405]		[1 0]
[0.75133723 0.24866281]		[1 0]
[0.10773561 0.8922644 ]		[0 1]
[0.04757883 0.95242125]		[0 1]
[0.5629749  0.43702516]		[0 1]
[0.888574   0.11142598]		[1 0]
[0.43958148 0.5604185 ]		[1 0]
[0.5677092 0.4322908]		[1 0]
[0.39754787 0.6024521 ]		[0 1]
[0.80920726 0.19079278]		[1 0]
[0.25649023 0.7435098 ]		[1 0]
[0.19140999 0.80859   ]		[0 1]
[0.02344439 0.97655565]		[0 1]
[0.28097272 0.7190273 ]		[0 1]
[0.05780151 0.9421985 ]		[0 1]
[0.41522053 0.58477944]		[0 1]
[0.12965728 0.87034273]		[0 1]
[0.29531565 0.7046844 ]		[0 1]
[0.37958208 0.62041795]		[0 1]
[0.9371271  0.06287292]		[1 0]
[0.56822807 0.43177193]		[1 0]
[0.23052864 0.76947135]		[0 1]
[0.12007509 0.8799249 ]		[0 1]
[0.6896504  0.31034955]		[1 0]
[0.95418257 0.0458174 ]		[1 0]
[0.32392704 0.67607296]		[0 1]
[0.16799009 0.83200985]		[0 1]
[0.3710343 0.6289657]		[1 0]
[0.17706445 0.8229355 ]		[0 1]
[0.6768109  0.32318902]		[1 0]
[0.14636678 0.85363317]		[0 1]
[0.3514086 0.6485914]		[0 1]
[0.21477678 0.78522325]		[0 1]
[0.59381527 0.40618473]		[1 0]
[0.63587856 0.36412147]		[1 0]
[0.504578   0.49542204]		[0 1]
[0.18473484 0.8152652 ]		[1 0]
[0.36434725 0.6356528 ]		[0 1]
[0.83672386 0.1632761 ]		[1 0]
[0.8810333  0.11896666]		[1 0]
[0.02649897 0.9735011 ]		[0 1]
[0.35731408 0.64268595]		[0 1]
[0.6473927  0.35260725]		[0 1]
[0.38125807 0.61874187]		[1 0]
[0.8591462  0.14085384]		[1 0]
[0.04753956 0.95246047]		[0 1]
[0.43697986 0.5630201 ]		[1 0]
[0.14952   0.8504801]		[0 1]
[0.62878907 0.3712109 ]		[0 1]
[0.97066486 0.02933515]		[0 1]
[0.87778497 0.12221503]		[1 0]
[0.11598729 0.8840127 ]		[0 1]
[0.77578706 0.22421296]		[1 0]
[0.4045376 0.5954624]		[0 1]
[0.11741911 0.8825809 ]		[0 1]
[0.65691465 0.3430854 ]		[0 1]
[0.54568803 0.45431194]		[1 0]
[0.59745884 0.4025411 ]		[0 1]
[0.04183922 0.9581607 ]		[0 1]
[0.22051127 0.7794887 ]		[1 0]
[0.4669468 0.5330532]		[1 0]
[0.4450608 0.5549392]		[1 0]
[0.7612796 0.2387204]		[1 0]
[0.2572649  0.74273515]		[1 0]
[0.69888353 0.3011165 ]		[1 0]
[0.9180122  0.08198787]		[1 0]
[0.8106646 0.1893354]		[1 0]
[0.6878146  0.31218544]		[1 0]
[0.45663518 0.54336476]		[0 1]
[0.8056444  0.19435556]		[1 0]
[0.75104314 0.24895692]		[1 0]
[0.609351   0.39064905]		[1 0]
[0.76197064 0.23802935]		[1 0]
[0.07413335 0.9258666 ]		[0 1]
[0.41855028 0.5814497 ]		[0 1]
[0.17926304 0.82073694]		[0 1]
[0.41238126 0.5876187 ]		[0 1]
[0.21083526 0.7891647 ]		[0 1]
[0.92140293 0.07859704]		[1 0]
[0.85849565 0.14150438]		[1 0]
[0.23397726 0.76602274]		[0 1]
[0.7398284  0.26017165]		[0 1]
[0.8324156 0.1675844]		[1 0]
[0.34371787 0.6562821 ]		[1 0]
[0.5796667  0.42033333]		[1 0]
[0.9412668 0.0587332]		[1 0]
[0.8556861  0.14431389]		[1 0]
[0.6904195  0.30958053]		[0 1]
[0.05910213 0.9408979 ]		[0 1]
[0.9566999  0.04330003]		[1 0]
[0.49713942 0.50286055]		[1 0]
[0.4112129  0.58878714]		[0 1]
[0.80186284 0.19813712]		[1 0]
[0.4912741  0.50872594]		[0 1]
[0.12234547 0.87765455]		[0 1]
[0.7202765  0.27972355]		[1 0]
[0.2720407 0.7279593]		[1 0]
[0.21996137 0.78003865]		[0 1]
[0.53723043 0.46276954]		[1 0]
[0.1981061 0.8018939]		[1 0]
[0.21318965 0.7868104 ]		[0 1]
[0.12075831 0.87924176]		[0 1]
[0.7097242  0.29027575]		[1 0]
[0.7547489  0.24525118]		[1 0]
[0.76569176 0.2343082 ]		[0 1]
[0.3221349 0.6778651]		[0 1]
[0.82453084 0.17546912]		[1 0]
[0.11798131 0.8820187 ]		[0 1]
[0.54625756 0.45374244]		[1 0]
[0.71771383 0.28228614]		[1 0]
[0.26588833 0.73411167]		[0 1]
[0.9615676 0.0384324]		[1 0]
[0.24354696 0.75645304]		[0 1]
[0.77233124 0.22766872]		[0 1]
[0.60282075 0.39717922]		[0 1]
[0.8977534  0.10224661]		[1 0]
[0.30354193 0.6964581 ]		[0 1]
[0.34237164 0.6576283 ]		[0 1]
[0.17172338 0.8282766 ]		[1 0]
[0.52004117 0.47995883]		[0 1]
[0.45963693 0.5403631 ]		[0 1]
[0.6800036 0.3199964]		[1 0]
[0.694097   0.30590302]		[1 0]
[0.40510938 0.59489065]		[1 0]
[0.18692495 0.8130751 ]		[0 1]
[0.08041387 0.9195861 ]		[0 1]
[0.0876926 0.9123074]		[0 1]
[0.44563374 0.55436623]		[1 0]
[0.11659727 0.88340276]		[0 1]
[0.19387646 0.80612355]		[0 1]
[0.7838403  0.21615967]		[0 1]
[0.87831986 0.1216801 ]		[1 0]
[0.7776118  0.22238815]		[0 1]
[0.2357417 0.7642583]		[1 0]
[0.6278264  0.37217364]		[0 1]
[0.23953135 0.76046866]		[0 1]
[0.5107331  0.48926687]		[1 0]
[0.62574995 0.37425005]		[1 0]
[0.34728944 0.65271056]		[1 0]
[0.66400397 0.33599606]		[1 0]
[0.20661357 0.7933864 ]		[1 0]
[0.4232792 0.5767208]		[0 1]
[0.87074095 0.12925899]		[1 0]
[0.21814395 0.78185606]		[0 1]
[0.69291574 0.3070842 ]		[1 0]
[0.16348359 0.8365164 ]		[0 1]
[0.30450338 0.69549656]		[1 0]
[0.21402666 0.78597337]		[0 1]
[0.59944355 0.40055647]		[1 0]
[0.6771924  0.32280767]		[1 0]
[0.60403866 0.39596134]		[0 1]
[0.45787227 0.5421277 ]		[0 1]
[0.6821245 0.3178755]		[0 1]
[0.2367981  0.76320195]		[1 0]
[0.6550735  0.34492648]		[1 0]
[0.1414688  0.85853124]		[0 1]
[0.7080999  0.29190013]		[1 0]
[0.2000405 0.7999595]		[0 1]
[0.20161499 0.798385  ]		[0 1]
[0.552031   0.44796896]		[0 1]
[0.914563   0.08543699]		[1 0]
[0.66169757 0.33830243]		[0 1]
[0.83920395 0.16079606]		[0 1]
[0.97800213 0.02199783]		[1 0]
[0.1865337  0.81346625]		[1 0]
[0.5239517  0.47604832]		[0 1]
[0.6441366  0.35586336]		[1 0]
[0.9472277  0.05277229]		[1 0]
[0.30814505 0.6918549 ]		[1 0]
[0.88392544 0.11607456]		[0 1]
[0.6499521 0.3500479]		[1 0]
[0.79926807 0.20073195]		[1 0]
[0.57424456 0.42575547]		[1 0]
[0.9428421  0.05715789]		[1 0]
[0.9717762 0.0282238]		[1 0]
[0.7683539  0.23164609]		[1 0]
[0.835516   0.16448402]		[1 0]
[0.88380826 0.11619166]		[1 0]
[0.56985134 0.4301487 ]		[1 0]
[0.42771882 0.5722811 ]		[0 1]
[0.841462   0.15853801]		[1 0]
[0.4342223  0.56577766]		[1 0]
[0.9607292  0.03927082]		[1 0]
[0.7833086  0.21669134]		[1 0]
[0.30600226 0.6939978 ]		[0 1]
[0.05497778 0.9450222 ]		[0 1]
[0.9146286  0.08537135]		[1 0]
[0.3063998 0.6936002]		[0 1]
[0.946551   0.05344894]		[1 0]
[0.6902735 0.3097265]		[1 0]
[0.6447398  0.35526016]		[1 0]
[0.0187608 0.9812392]		[0 1]
[0.47235778 0.52764213]		[0 1]
[0.26989174 0.73010826]		[0 1]
[0.25874197 0.741258  ]		[0 1]
[0.25184107 0.74815893]		[0 1]
[0.37444472 0.6255553 ]		[1 0]
[0.3786502 0.6213498]		[1 0]
[0.01809095 0.98190904]		[0 1]
[0.48847026 0.51152974]		[1 0]
[0.5598206  0.44017944]		[1 0]
[0.96705973 0.03294026]		[1 0]
[0.2068905 0.7931095]		[0 1]
[0.13650893 0.8634911 ]		[0 1]
[0.06621156 0.9337884 ]		[0 1]
[0.23662995 0.76337004]		[0 1]
[0.6885955  0.31140447]		[0 1]
[0.08967168 0.9103283 ]		[0 1]
[0.44969347 0.5503065 ]		[0 1]
[0.567494   0.43250602]		[1 0]
[0.06484947 0.93515056]		[0 1]
[0.3970968 0.6029032]		[0 1]
[0.82678574 0.17321427]		[1 0]
[0.82283276 0.17716724]		[1 0]
[0.4167168 0.5832832]		[0 1]
[0.29507926 0.70492077]		[1 0]
[0.48831096 0.511689  ]		[0 1]
[0.47460833 0.5253917 ]		[1 0]
[0.10965129 0.8903487 ]		[0 1]
[0.02713634 0.9728636 ]		[0 1]
[0.51045865 0.48954132]		[0 1]
[0.927277   0.07272293]		[1 0]
[0.97803295 0.02196703]		[1 0]
[0.70262796 0.29737195]		[1 0]
[0.8616635  0.13833646]		[1 0]
[0.13703603 0.862964  ]		[0 1]
[0.23345402 0.766546  ]		[0 1]
[0.18886183 0.8111382 ]		[0 1]
[0.96781766 0.03218229]		[0 1]
[0.95402724 0.04597273]		[1 0]
[0.3265337 0.6734663]		[0 1]
[0.8762611  0.12373887]		[1 0]
[0.13415854 0.86584145]		[0 1]
[0.27147242 0.72852755]		[0 1]
