PREDICTED		ACTUAL
[0.70989156 0.29010847]		[1 0]
[0.3444109 0.6555891]		[1 0]
[0.43504214 0.5649579 ]		[0 1]
[0.75889426 0.24110575]		[1 0]
[0.03830084 0.96169925]		[0 1]
[0.9201076  0.07989237]		[1 0]
[0.4301965 0.5698035]		[0 1]
[0.38464162 0.6153584 ]		[1 0]
[0.83630455 0.16369541]		[1 0]
[0.91396713 0.0860328 ]		[1 0]
[0.04401863 0.9559813 ]		[0 1]
[0.5871893  0.41281065]		[0 1]
[0.9808703  0.01912967]		[1 0]
[0.32700533 0.6729947 ]		[0 1]
[0.1716583  0.82834166]		[0 1]
[0.40697822 0.59302175]		[0 1]
[0.5921866  0.40781334]		[1 0]
[0.05108634 0.94891363]		[0 1]
[0.5405412  0.45945886]		[1 0]
[0.73051894 0.2694811 ]		[1 0]
[0.31791773 0.6820823 ]		[0 1]
[0.61700606 0.38299394]		[0 1]
[0.66535336 0.33464667]		[1 0]
[0.5606104  0.43938962]		[1 0]
[0.07139811 0.9286019 ]		[0 1]
[0.83302337 0.16697662]		[1 0]
[0.6796155 0.3203845]		[1 0]
[0.07826418 0.9217358 ]		[0 1]
[0.5386172  0.46138287]		[1 0]
[0.18033536 0.81966466]		[1 0]
[0.974796   0.02520402]		[1 0]
[0.9429477  0.05705224]		[1 0]
[0.21508296 0.78491706]		[0 1]
[0.767437 0.232563]		[1 0]
[0.17624484 0.8237552 ]		[0 1]
[0.79469895 0.20530102]		[1 0]
[0.75207794 0.24792212]		[1 0]
[0.90160996 0.09839004]		[1 0]
[0.26444688 0.7355531 ]		[0 1]
[0.44842628 0.55157375]		[1 0]
[0.41952237 0.5804776 ]		[0 1]
[0.6740806  0.32591945]		[0 1]
[0.583032 0.416968]		[1 0]
[0.71213645 0.28786352]		[1 0]
[0.5969377  0.40306234]		[0 1]
[0.03369348 0.9663065 ]		[0 1]
[0.5302425  0.46975756]		[1 0]
[0.28754368 0.71245635]		[0 1]
[0.3321767 0.6678233]		[0 1]
[0.7714535  0.22854653]		[1 0]
[0.67842114 0.32157892]		[1 0]
[0.18188503 0.81811494]		[1 0]
[0.52715546 0.4728445 ]		[0 1]
[0.45483592 0.54516405]		[0 1]
[0.4668001 0.5331999]		[0 1]
[0.13805676 0.8619433 ]		[0 1]
[0.6520839  0.34791607]		[0 1]
[0.4267501  0.57324994]		[0 1]
[0.63698447 0.3630155 ]		[0 1]
[0.35525498 0.644745  ]		[0 1]
[0.08002127 0.91997874]		[0 1]
[0.8887321  0.11126792]		[1 0]
[0.42956376 0.57043624]		[1 0]
[0.50005555 0.49994442]		[1 0]
[0.02588864 0.9741114 ]		[0 1]
[0.02053374 0.9794662 ]		[0 1]
[0.28460124 0.7153988 ]		[0 1]
[0.55228025 0.4477198 ]		[0 1]
[0.18021147 0.8197885 ]		[0 1]
[0.4381171  0.56188285]		[0 1]
[0.76543117 0.2345689 ]		[1 0]
[0.736      0.26399997]		[1 0]
[0.6448645 0.3551355]		[0 1]
[0.8117762  0.18822378]		[0 1]
[0.23628554 0.7637145 ]		[0 1]
[0.19920354 0.80079645]		[0 1]
[0.5731822  0.42681774]		[1 0]
[0.62827927 0.37172067]		[1 0]
[0.24396095 0.7560391 ]		[0 1]
[0.7790011  0.22099885]		[1 0]
[0.82276034 0.17723963]		[1 0]
[0.2523921  0.74760795]		[0 1]
[0.41132858 0.5886714 ]		[1 0]
[0.62335324 0.37664676]		[1 0]
[0.31143138 0.6885686 ]		[1 0]
[0.09342822 0.90657175]		[0 1]
[0.09326406 0.90673596]		[0 1]
[0.8468862  0.15311381]		[1 0]
[0.08736275 0.9126373 ]		[0 1]
[0.51145095 0.48854908]		[0 1]
[0.18588299 0.814117  ]		[0 1]
[0.6417486  0.35825133]		[1 0]
[0.95389265 0.04610742]		[1 0]
[0.7963446  0.20365544]		[1 0]
[0.11191141 0.88808864]		[0 1]
[0.36880118 0.6311988 ]		[1 0]
[0.2717619  0.72823817]		[0 1]
[0.30513483 0.69486517]		[1 0]
[0.9687903  0.03120972]		[1 0]
[0.45062825 0.5493717 ]		[1 0]
[0.50187314 0.4981269 ]		[1 0]
[0.46737143 0.53262854]		[1 0]
[0.46833283 0.5316671 ]		[0 1]
[0.5840671  0.41593292]		[1 0]
[0.5590342  0.44096574]		[1 0]
[0.64164454 0.3583555 ]		[1 0]
[0.12161296 0.878387  ]		[0 1]
[0.7882762  0.21172383]		[1 0]
[0.45832852 0.5416715 ]		[0 1]
[0.9677489  0.03225111]		[1 0]
[0.20002441 0.7999756 ]		[0 1]
[0.26193774 0.73806226]		[1 0]
[0.4178294 0.5821706]		[0 1]
