PREDICTED		ACTUAL
[0.5349284  0.46507165]		[1 0]
[0.39276686 0.6072331 ]		[1 0]
[0.42682356 0.57317644]		[0 1]
[0.6913163 0.3086837]		[1 0]
[0.0960183 0.9039816]		[0 1]
[0.9287336  0.07126635]		[1 0]
[0.48559806 0.5144019 ]		[0 1]
[0.1991811  0.80081886]		[1 0]
[0.86847925 0.13152076]		[1 0]
[0.80522245 0.19477753]		[1 0]
[0.06155825 0.93844175]		[0 1]
[0.5362756  0.46372437]		[0 1]
[0.9643008  0.03569924]		[1 0]
[0.44949943 0.5505006 ]		[0 1]
[0.11927111 0.8807289 ]		[0 1]
[0.26417878 0.73582125]		[0 1]
[0.56101704 0.43898293]		[1 0]
[0.01819333 0.98180664]		[0 1]
[0.64593124 0.35406876]		[1 0]
[0.69360274 0.30639726]		[1 0]
[0.25620967 0.74379027]		[0 1]
[0.45295373 0.54704624]		[0 1]
[0.66894686 0.33105308]		[1 0]
[0.46653575 0.5334642 ]		[1 0]
[0.07431906 0.925681  ]		[0 1]
[0.80030745 0.1996926 ]		[1 0]
[0.58548146 0.41451854]		[1 0]
[0.10433538 0.89566463]		[0 1]
[0.4967703  0.50322974]		[1 0]
[0.16549434 0.8345057 ]		[1 0]
[0.96707714 0.0329229 ]		[1 0]
[0.94168013 0.05831989]		[1 0]
[0.19360742 0.8063926 ]		[0 1]
[0.4932589 0.5067411]		[1 0]
[0.11723518 0.8827648 ]		[0 1]
[0.75633514 0.24366492]		[1 0]
[0.67122376 0.3287762 ]		[1 0]
[0.8973331  0.10266696]		[1 0]
[0.16251747 0.83748245]		[0 1]
[0.4888559 0.5111441]		[1 0]
[0.27607793 0.7239221 ]		[0 1]
[0.73885584 0.26114416]		[0 1]
[0.44942355 0.5505765 ]		[1 0]
[0.6654407 0.3345593]		[1 0]
[0.5566257  0.44337428]		[0 1]
[0.03325655 0.96674347]		[0 1]
[0.44414416 0.5558558 ]		[1 0]
[0.1914828 0.8085172]		[0 1]
[0.19025458 0.80974543]		[0 1]
[0.5719617  0.42803833]		[1 0]
[0.63123834 0.36876163]		[1 0]
[0.15699588 0.84300417]		[1 0]
[0.40641785 0.59358215]		[0 1]
[0.24775138 0.75224864]		[0 1]
[0.34356427 0.6564357 ]		[0 1]
[0.13081908 0.86918086]		[0 1]
[0.5078226 0.4921774]		[0 1]
[0.36522254 0.6347774 ]		[0 1]
[0.67669946 0.32330054]		[0 1]
[0.44060677 0.5593932 ]		[0 1]
[0.05562017 0.94437987]		[0 1]
[0.8073937  0.19260624]		[1 0]
[0.329694  0.6703059]		[1 0]
[0.55272657 0.44727352]		[1 0]
[0.03394104 0.96605897]		[0 1]
[0.01914547 0.9808545 ]		[0 1]
[0.19388175 0.8061182 ]		[0 1]
[0.5037304 0.4962695]		[0 1]
[0.1605877 0.8394123]		[0 1]
[0.49850827 0.5014917 ]		[0 1]
[0.7925354  0.20746453]		[1 0]
[0.7427549  0.25724515]		[1 0]
[0.29626954 0.70373046]		[0 1]
[0.86128193 0.13871802]		[0 1]
[0.1724183 0.8275817]		[0 1]
[0.19278012 0.80721986]		[0 1]
[0.61975926 0.3802407 ]		[1 0]
[0.7603564  0.23964354]		[1 0]
[0.1500139 0.8499861]		[0 1]
[0.8767708  0.12322921]		[1 0]
[0.93885934 0.06114058]		[1 0]
[0.19404463 0.80595535]		[0 1]
[0.23816046 0.7618395 ]		[1 0]
[0.6527152  0.34728476]		[1 0]
[0.10673749 0.89326257]		[1 0]
[0.04713888 0.95286113]		[0 1]
[0.04399432 0.95600575]		[0 1]
[0.8498921 0.1501079]		[1 0]
[0.09874761 0.9012523 ]		[0 1]
[0.43660286 0.5633971 ]		[0 1]
[0.18215014 0.8178498 ]		[0 1]
[0.64418775 0.35581222]		[1 0]
[0.9374941  0.06250589]		[1 0]
[0.73037666 0.26962334]		[1 0]
[0.08873863 0.9112613 ]		[0 1]
[0.4934886 0.5065114]		[1 0]
[0.16006921 0.8399308 ]		[0 1]
[0.2519051 0.7480949]		[1 0]
[0.9313767  0.06862329]		[1 0]
[0.32367265 0.67632735]		[1 0]
[0.39847836 0.6015217 ]		[1 0]
[0.3353182 0.6646818]		[1 0]
[0.27027068 0.72972935]		[0 1]
[0.5524951  0.44750488]		[1 0]
[0.6196877  0.38031235]		[1 0]
[0.6376468 0.3623532]		[1 0]
[0.03933764 0.9606623 ]		[0 1]
