PREDICTED		ACTUAL
[0.65109116 0.34890887]		[1 0]
[0.3313367 0.6686633]		[1 0]
[0.4853486  0.51465136]		[0 1]
[0.5347037 0.4652963]		[1 0]
[0.28557193 0.71442807]		[0 1]
[0.8421795  0.15782045]		[1 0]
[0.5029352  0.49706477]		[0 1]
[0.31523013 0.68476987]		[1 0]
[0.60425156 0.3957484 ]		[1 0]
[0.7928343  0.20716566]		[1 0]
[0.08419461 0.9158054 ]		[0 1]
[0.7044082  0.29559177]		[0 1]
[0.9056842  0.09431583]		[1 0]
[0.31078342 0.68921655]		[0 1]
[0.38752213 0.61247784]		[0 1]
[0.41606417 0.58393586]		[0 1]
[0.69777125 0.30222875]		[1 0]
[0.07813866 0.92186135]		[0 1]
[0.42131022 0.5786898 ]		[1 0]
[0.647719 0.352281]		[1 0]
[0.63096285 0.36903718]		[0 1]
[0.38752213 0.61247784]		[0 1]
[0.5376868 0.4623132]		[1 0]
[0.5120369  0.48796305]		[1 0]
[0.10919008 0.8908099 ]		[0 1]
[0.8349464  0.16505364]		[1 0]
[0.78410745 0.21589257]		[1 0]
[0.417116 0.582884]		[0 1]
[0.45104912 0.54895085]		[1 0]
[0.22641832 0.77358174]		[1 0]
[0.90975064 0.09024937]		[1 0]
[0.8945284  0.10547159]		[1 0]
[0.23362185 0.76637816]		[0 1]
[0.7941517  0.20584829]		[1 0]
[0.28557193 0.71442807]		[0 1]
[0.7692507  0.23074935]		[1 0]
[0.38353786 0.6164621 ]		[1 0]
[0.8236066  0.17639342]		[1 0]
[0.18559897 0.8144011 ]		[0 1]
[0.6529051  0.34709495]		[1 0]
[0.4227976 0.5772024]		[0 1]
[0.7347361  0.26526392]		[0 1]
[0.62515867 0.37484133]		[1 0]
[0.6855996 0.3144004]		[1 0]
[0.5589461  0.44105393]		[0 1]
[0.08054837 0.91945165]		[0 1]
[0.45104912 0.54895085]		[1 0]
[0.1826587 0.8173413]		[0 1]
[0.44386944 0.5561306 ]		[0 1]
[0.7287165  0.27128354]		[1 0]
[0.7347361  0.26526392]		[1 0]
[0.1579968  0.84200317]		[1 0]
[0.34780923 0.65219074]		[0 1]
[0.4853486  0.51465136]		[0 1]
[0.5483158  0.45168424]		[0 1]
[0.3552013 0.6447987]		[0 1]
[0.29775536 0.7022446 ]		[0 1]
[0.4935992  0.50640076]		[0 1]
[0.8143181  0.18568183]		[0 1]
[0.53098583 0.46901408]		[0 1]
[0.36021724 0.6397827 ]		[0 1]
[0.7941517  0.20584829]		[1 0]
[0.4935992  0.50640076]		[1 0]
[0.6724005  0.32759956]		[1 0]
[0.08392692 0.91607314]		[0 1]
[0.07687403 0.9231259 ]		[0 1]
