PREDICTED		ACTUAL
[0.44998172 0.55001825]		[1 0]
[0.4602809 0.5397191]		[1 0]
[0.53525233 0.4647477 ]		[0 1]
[0.56275403 0.43724597]		[1 0]
[0.33041906 0.6695809 ]		[0 1]
[0.3499432 0.6500568]		[1 0]
[0.5439161 0.4560839]		[0 1]
[0.40324318 0.5967569 ]		[1 0]
[0.32162935 0.67837065]		[1 0]
[0.5699534  0.43004662]		[1 0]
[0.40324318 0.5967569 ]		[0 1]
[0.45006013 0.5499399 ]		[0 1]
[0.63654983 0.3634502 ]		[1 0]
[0.37018937 0.6298106 ]		[0 1]
[0.40214455 0.5978554 ]		[0 1]
[0.5031951  0.49680492]		[0 1]
[0.43717575 0.56282425]		[1 0]
[0.3499432 0.6500568]		[0 1]
[0.5664785  0.43352154]		[1 0]
[0.4156262 0.5843738]		[1 0]
[0.6150657  0.38493434]		[0 1]
[0.40214455 0.5978554 ]		[0 1]
[0.5794634  0.42053655]		[1 0]
[0.5678213  0.43217877]		[1 0]
[0.41658127 0.5834187 ]		[0 1]
[0.63654983 0.3634502 ]		[1 0]
[0.5794634  0.42053655]		[1 0]
[0.43717575 0.56282425]		[0 1]
[0.5016499  0.49835014]		[1 0]
[0.32162935 0.67837065]		[1 0]
[0.38289553 0.6171045 ]		[1 0]
[0.33358392 0.66641605]		[1 0]
[0.5501486  0.44985136]		[0 1]
[0.568115   0.43188497]		[1 0]
[0.33041906 0.6695809 ]		[0 1]
[0.5678213  0.43217877]		[1 0]
[0.4343484 0.5656516]		[1 0]
[0.61779004 0.38221   ]		[1 0]
[0.52170146 0.47829852]		[0 1]
[0.35417387 0.6458261 ]		[1 0]
[0.45006013 0.5499399 ]		[0 1]
[0.61407995 0.38592002]		[0 1]
[0.38226458 0.61773545]		[1 0]
[0.47268894 0.5273111 ]		[1 0]
[0.39670905 0.6032909 ]		[0 1]
[0.40874937 0.59125066]		[0 1]
[0.5016499  0.49835014]		[1 0]
[0.50244594 0.49755406]		[0 1]
[0.56328565 0.43671438]		[0 1]
[0.5097533 0.4902467]		[1 0]
[0.61407995 0.38592002]		[1 0]
[0.5588658  0.44113427]		[1 0]
[0.39727888 0.6027211 ]		[0 1]
[0.53525233 0.4647477 ]		[0 1]
[0.6396615 0.3603385]		[0 1]
[0.38289553 0.6171045 ]		[0 1]
[0.40874937 0.59125066]		[0 1]
[0.54048353 0.45951647]		[0 1]
[0.6033633  0.39663672]		[0 1]
[0.5683952  0.43160486]		[0 1]
[0.4095243  0.59047574]		[0 1]
[0.568115   0.43188497]		[1 0]
[0.54048353 0.45951647]		[1 0]
[0.44695485 0.55304515]		[1 0]
[0.37018937 0.6298106 ]		[0 1]
[0.37548438 0.62451565]		[0 1]
[0.52170146 0.47829852]		[0 1]
[0.35417387 0.6458261 ]		[0 1]
[0.54171544 0.45828453]		[0 1]
[0.5337584  0.46624163]		[0 1]
[0.56328565 0.43671438]		[1 0]
[0.50244594 0.49755406]		[1 0]
[0.40874937 0.59125066]		[0 1]
[0.48419598 0.51580405]		[0 1]
[0.43717575 0.56282425]		[0 1]
[0.4761526  0.52384746]		[0 1]
[0.6396615 0.3603385]		[1 0]
[0.63654983 0.3634502 ]		[1 0]
[0.5794634  0.42053655]		[0 1]
[0.4260164  0.57398355]		[1 0]
[0.5494379  0.45056212]		[1 0]
[0.5501486  0.44985136]		[0 1]
[0.6396615 0.3603385]		[1 0]
[0.5097533 0.4902467]		[1 0]
[0.4095243  0.59047574]		[1 0]
[0.3081506  0.69184935]		[0 1]
[0.40874937 0.59125066]		[0 1]
[0.5678213  0.43217877]		[1 0]
[0.3499432 0.6500568]		[0 1]
[0.35417387 0.6458261 ]		[0 1]
[0.6150657  0.38493434]		[0 1]
[0.61407995 0.38592002]		[1 0]
[0.43817338 0.56182665]		[1 0]
[0.53525233 0.4647477 ]		[1 0]
[0.4095243  0.59047574]		[0 1]
[0.37018937 0.6298106 ]		[1 0]
[0.5031951  0.49680492]		[0 1]
[0.568115   0.43188497]		[1 0]
[0.3499432 0.6500568]		[1 0]
[0.5016499  0.49835014]		[1 0]
[0.5337584  0.46624163]		[1 0]
[0.63654983 0.3634502 ]		[1 0]
[0.50244594 0.49755406]		[0 1]
[0.56328565 0.43671438]		[1 0]
[0.6033633  0.39663672]		[1 0]
